resources_count,followers_count,honor_score,views_count,likes_count,favorites_count,comments_count,duration,title,embed_url
5,62,129,2495,56,20,3,03:00,32 Degrees at 48 Degrees | Nature Short,https://www.djivideos.com/video_play/186769f4-8655-44d7-9614-7c6accacc72a
5,62,129,1381,30,13,1,03:33,FLYING OVER HAWAII |  Nature Short,https://www.djivideos.com/video_play/5350fc63-d7eb-4bb8-9022-69c58c2d1278
44,101,84,29834,91,16,3,03:07,New Zealand - South Island 2017,https://www.djivideos.com/video_play/06c2064e-61a3-48aa-b216-eab4f9e2a5a0
27,247,1509,31566,119,49,9,03:27,Sunrise On The Edge Of The World / Preikestolen / NORWAY,https://www.djivideos.com/video_play/c3bd04f7-7d55-4594-8363-e03cdecd1f96
1,46,67,13189,46,4,5,04:23,Sussex Snow - Andorra Edit,https://www.djivideos.com/video_play/46e85f32-ed26-40ce-a52d-3255cb5177e9
36,847,1453,11175,57,14,1,01:54,Powder Line,https://www.djivideos.com/video_play/9dcb471b-05c6-4ca9-a9e0-1c8634c5a143
6,44,63,3339,39,13,3,02:32,A Life Full of Moments,https://www.djivideos.com/video_play/fa64b385-7389-4bbf-91b9-c2d5bfddd83c
5,259,369,7774,55,11,1,01:14,New Zealand from Hot Air Balloon,https://www.djivideos.com/video_play/abfca792-bb2f-4501-b773-03fc2b4956a7
41,176,796,36803,156,48,10,00:59,Rio de Janeiro on a foggy day,https://www.djivideos.com/video_play/4f5b2efb-b865-48e5-bafc-5d71c347c489
6,21,63,1821,39,15,2,02:09,LAKE GARDA ABOVE,https://www.djivideos.com/video_play/861d4251-9a7d-448c-ab3e-df0897b54cba
33,976,420,32633,120,67,11,05:12,2017鸟瞰柳州4K高清版,https://www.djivideos.com/video_play/db5e3754-8c71-4aa9-9649-019840711b0d
87,33,190,2059,40,17,3,02:37,The most beautiful island in the world CORON,https://www.djivideos.com/video_play/08ead3c7-c1e3-4e02-a5aa-c23bd0743879
10,215,161,122953,2698,48,214,03:39,Maldives - Maafushivaru Island .mp4,https://www.djivideos.com/video_play/327316c7-285a-4a33-9869-348d2bb3354d
11,28,84,2445,33,12,5,02:13,CAVALHADA - POCON? - MT - BRAZIL,https://www.djivideos.com/video_play/ec72cd96-a294-4679-a68c-bfcd8b617fe9
30,373,983,51852,602,26,75,03:28,从达洛尔到乞力马扎罗-东非行记v2.0,https://www.djivideos.com/video_play/385f11c0-cdc1-47b0-a489-d88fa87e9325
36,847,1453,20686,70,26,3,02:30,Mountains,https://www.djivideos.com/video_play/6a15b08f-8acc-4ece-aa85-6fb1a5079538
36,1588,1288,33608,186,49,16,01:09,Whale Vs. Dolphin Pod,https://www.djivideos.com/video_play/3a91416c-f50c-4d26-94d7-e969b0399143
8,78,249,1291,36,11,8,02:38,Widersteiner Valley Saga - Kingdom of Ibexes,https://www.djivideos.com/video_play/50f1bffc-67c4-4757-aaa1-704d43894a65
40,595,1024,1673,31,8,0,02:03,"Cape Notoro in winter Hokkaido, Japan ",https://www.djivideos.com/video_play/45fb64ed-0a4b-4c3c-b8c6-41fddf7fb0d2
